time,row,col,team_icecon,bootstrap_icecon,visual_ice,melt_frac,thin_ice_frac,water_frac,land_frac,snow_frac,sea_ice_se,melt_se,thin_ice_se,water_se,cloud_qa_pixels,total_pixels,sensor,area,expected_area,coverage_frac,x,y,month,year,dayofyear,distance,visual_icecon,team_error,bootstrap_error
2018-03-25,188,292,0.5760000000000001,0.741,0.6703717416856647,0.2898628515206102,0.0315628050107424,0.0082026017829827,0.0,0.0,0.0002061083772785,0.0002075656862134,0.0001332026147099,0.0001051043895066,0.0,708381.961893802,Sentinel2,633012949.6381705,640236692.0184326,0.9887170753093074,862500.0,-1462500.0,3,2018,84,129716.06112860936,0.9602345932062748,-0.3842345932062748,-0.2192345932062749
2021-04-24,133,337,0.412,0.553,0.3858646222941577,0.3231175530408621,0.1099338815026381,0.1810839431623419,0.0,0.0,0.0002320953273952,0.0002520752049041,0.0002070478135746,0.0001663076027505,0.0,675281.2436555341,Sentinel2,604147456.6423104,608223455.8550797,0.9932985168961644,-512500.0,-2587500.0,4,2021,114,98951.5117509071,0.7089821753350198,-0.2969821753350198,-0.1559821753350198
2024-08-02,231,215,0.0,0.0,0.0288708881796532,0.2146542002005386,0.1063629655483436,0.6501119460714643,0.0,0.0,0.0001998719858954,0.000485362074525,0.0003580263624,0.0005511874336079,0.0,701113.7545081158,Sentinel2,626670224.9678501,631472475.4615326,0.9923951546895649,1937500.0,462500.0,8,2024,215,66344.42069851782,0.2435250883801918,-0.2435250883801918,-0.2435250883801918
2022-09-24,90,266,0.212,0.42,0.0146017644804427,0.0849625971792802,0.3284958100656808,0.1503618802118835,0.1194134945058149,0.3021644535568978,0.0001180153763226,0.0002324575150571,0.0002784198538041,0.0002455264410439,0.0,972718.717069404,Sentinel2,606707004.3235316,637815688.0968323,0.9512262173009176,-1587500.0,-812500.0,9,2022,267,11373.171688179693,0.1721309921125166,0.0398690078874833,0.2478690078874833
2022-03-10,72,173,0.892,1.0,0.3637711765426146,0.0036308402990939,0.0003729235428304,0.0001316188846606,0.0,0.6320934407308002,1.9377727247552497e-05,2.220224596060055e-05,1.5978731825236253e-05,1.0698789437951995e-05,0.0,1100949.1763379206,Sentinel2,607969379.6803008,612164785.5067444,0.993146607048018,-2037500.0,1512500.0,3,2022,69,22522.90018456741,0.9986286125789832,-0.1066286125789832,0.0013713874210167
2018-04-04,225,224,0.364,0.603,0.444786703114554,0.2958938878872852,0.2430672820999639,0.0162521268981966,0.0,0.0,0.0002540818642788,0.0002819370121292,0.0002324335353836,0.0001480032877544,0.0,707515.319409028,Sentinel2,632247344.23,637237884.2279053,0.992168481941478,1787500.0,237500.0,4,2018,94,44795.46048882674,0.7406805910018393,-0.3766805910018392,-0.1376805910018392
2019-07-06,195,222,0.904,1.0,0.5615139209735177,0.1571510352304748,0.0131759218770142,0.0121357279623577,0.0110691393714669,0.2449542545851686,0.0002596202733471,0.0002597179779956,0.0001114066319347,0.0001085360268454,0.0,921940.0000732618,Landsat8,648961801.6520345,654536963.9147339,0.9914822804974148,1037500.0,287500.0,7,2019,187,0.0,0.9659778954959553,-0.0619778954959551,0.0340221045040448
2023-07-08,179,207,0.992,1.0,0.6020228243783201,0.3399380541207533,0.0329495387994028,0.0250895827015236,0.0,0.0,0.0003565786466223,0.0003589295626604,0.0001635991242679,0.0001571325065533,0.0,729641.0574884182,Landsat9,651523473.7354648,657190943.5687256,0.991376220429203,637500.0,662500.0,7,2023,189,36252.25868485291,0.9419608784990734,0.0500391215009266,0.0580391215009266
2021-04-23,88,335,0.916,0.932,0.6262060483797175,0.0613542397827145,0.0472949228205203,0.0308260104193419,0.016666439815591,0.2176523387821146,9.275353203227922e-05,0.0001137201364572,0.0001049517026566,8.6689317729248e-05,0.0,752602.9496096703,Sentinel2,588587539.7055932,592193418.3547058,0.9939109781747816,-1637500.0,-2537500.0,4,2021,113,2657.1634084306725,0.8979719874848321,0.0180280125151679,0.0340280125151679
2020-07-19,235,213,0.0,0.0,7.415517780623103e-05,8.841801202158415e-05,9.977489426114904e-05,0.9997376519159112,0.0,0.0,1.031247840569058e-05,1.1260564358451157e-05,1.196184836884061e-05,1.9394944787393025e-05,0.0,697230.0675435576,Sentinel2,623231708.5182233,627919551.379776,0.9925343256930736,2037500.0,512500.0,7,2020,201,26547.81021969317,0.0001625731898278,-0.0001625731898278,-0.0001625731898278
