system:index,area,cloud_qa_pixels,column,date,land_frac,melt_frac,melt_se,row,sea_ice_frac,sea_ice_se,sensor,snow_frac,thin_ice_frac,thin_ice_se,total_pixels,water_frac,water_se,.geo
00000000000000001782,622800240.6654867,0.0,168,2019-06-12,0.0,0.334862616892441,0.00026170713458998523,100,0.6161167394824438,0.00024002556378982328,Sentinel2,0.0,0.0322995001033569,0.0001617991195475976,696875.7626976559,0.0167211435217581,0.00013799178651504885,"{""type"":""Polygon"",""coordinates"":[[[174.289406836213,70.5026694028014],[174.718759346246,70.6758648664708],[174.193273065925,70.8185764997221],[173.765519875048,70.6440098208911],[174.289406836213,70.5026694028014]]]}"
00000000000000003d54,647935212.6772467,0.0,208,2023-03-25,0.0,0.0344369710170551,0.00010287567892154745,191,0.9466052464527672,0.00011751424885514152,Sentinel2,0.0,0.0148361228868476,7.233095791606969e-05,725625.5022699966,0.00412165964333,7.28983963531219e-05,"{""type"":""Polygon"",""coordinates"":[[[80.0958162410197,79.5908090344044],[79.0459367330439,79.7207333857513],[78.3407067383025,79.5302377039237],[79.3803441857766,79.4026975962325],[80.0958162410197,79.5908090344044]]]}"
00000000000000002bf4,644466354.6547319,0.0,182,2020-06-25,0.0,0.7110063547776689,0.00040475078752835167,144,0.2194563478234119,0.0003661048455604862,Sentinel2,0.0,0.0392749611612676,0.0002023516154892931,721531.9641762493,0.0302623362376514,0.00019309350903488028,"{""type"":""Polygon"",""coordinates"":[[[145.885526740901,77.8233531516797],[146.093722668278,78.04748559828771],[145.007979481227,78.0893043118365],[144.819300346473,77.8643777215327],[145.885526740901,77.8233531516797]]]}"
00000000000000001872,612172368.0409968,6.0,315,2013-07-23,0.0,0.8428106317065533,0.00023306760637783648,101,0.1399961855929059,0.0002264400465407444,Landsat8,0.0,0.0094177899568887,0.00011033425073757528,684672.6576637448,0.0077753927436522,0.00010361664714313394,"{""type"":""Polygon"",""coordinates"":[[[-78.197565762285,67.9268624483129],[-77.8762617227009,67.7402771077047],[-77.380677675493,67.8602723489439],[-77.6994610894214,68.0479771173002],[-78.197565762285,67.9268624483129]]]}"
00000000000000000aa6,584219033.9418914,0.0,173,2017-09-15,0.0,0.00015955501856026433,1.5406768928972525e-05,76,0.0001023499734942872,1.2493110731702684e-05,Sentinel2,0.0,0.0009197742144894948,2.5187176987252105e-05,653611.915902763,0.998818320793456,2.951985612688439e-05,"{""type"":""Polygon"",""coordinates"":[[[-173.12698858249772,67.48153387788746],[-172.8840772736604,67.47552662774886],[-172.568592009894,67.5689477045133],[-172.926462306345,67.74483534410349],[-173.386539500555,67.6073995163194],[-173.12698858249772,67.48153387788746]]]}"
00000000000000000799,583571650.5858941,0.0,139,2021-09-03,0.0,8.978981297163632e-05,1.1736703972179708e-05,71,7.55269784136749e-05,1.0764314789545171e-05,Sentinel2,0.0,0.00010114669531984696,1.245679237878555e-05,651766.0608068767,0.9997335365132948,2.021721048251462e-05,"{""type"":""Polygon"",""coordinates"":[[[176.143199010649,61.4678979946931],[176.443818902186,61.63120058292841],[176.09950625364,61.77466417532781],[175.799377791191,61.6104032312469],[176.143199010649,61.4678979946931]]]}"
000000000000000031c1,593336236.8846394,0.0,349,2021-01-23,0.0,0.0188218296366609,0.00016609795522894323,167,0.0119478165183929,0.00013323064607728596,Sentinel2,0.0,0.8210591143623404,0.0004324541566353449,662909.1217072986,0.1481712394826056,0.0004003855255740587,"{""type"":""Polygon"",""coordinates"":[[[-38.550465304844806,63.7422277406702],[-38.6056022431005,63.5243879281598],[-38.118276378243,63.4990592249793],[-38.0590165805185,63.716659828184206],[-38.550465304844806,63.7422277406702]]]}"
00000000000000002958,610400468.7979347,0.0,331,2017-07-23,0.0,0.0141476322901899,0.00014025197943432662,137,0.0071230807723239,0.00010159068696659224,Landsat8,0.0,0.9693446552016488,0.00020133429854780495,682595.048495577,0.0093846317358373,0.0001146293000228324,"{""type"":""Polygon"",""coordinates"":[[[-54.94057300876019,67.5531356495249],[-54.8411317364279,67.3341576497001],[-54.27260175498671,67.3710514776063],[-54.3665099336931,67.5904265305572],[-54.94057300876019,67.5531356495249]]]}"
00000000000000002d42,637282311.572984,0.0,169,2019-03-06,0.0348799510464634,0.0,0.0,149,0.0,0.0,Landsat8,0.9651200489535364,0.0,0.0,2770607.976470588,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[139.398705295066,75.0369296540827],[139.467158996689,75.2633181602181],[138.576334322667,75.2792482576299],[138.521453328467,75.0526081184848],[139.398705295066,75.0369296540827]]]}"
0000000000000000446d,641985144.4470363,0.0,246,2024-05-03,0.0,0.4892543291279613,0.00030134987777472125,209,0.3186937157383395,0.00029805359532754784,Sentinel2,0.0,0.1000285978818041,0.0001918209049857523,718971.76268666,0.0920233572518953,0.00016958241721944258,"{""type"":""Polygon"",""coordinates"":[[[32.69198445263249,77.061204735783],[31.701429950558097,77.0106895831654],[31.930682363031703,76.7888115639583],[32.9052431718153,76.838446757081],[32.69198445263249,77.061204735783]]]}"
