time,row,col,team_icecon,bootstrap_icecon,visual_ice,melt_frac,thin_ice_frac,water_frac,land_frac,snow_frac,sea_ice_se,melt_se,thin_ice_se,water_se,cloud_qa_pixels,total_pixels,sensor,area,expected_area,coverage_frac,x,y,month,year,dayofyear,distance,visual_icecon,team_error,bootstrap_error,Lat,Lon,team_abs_error
2023-04-26,50,252,1.0,0.0,0.5833980519780916,0.0004027021210546,8.136049387147554e-05,0.0001440118743929,0.0,0.4159738735325894,2.1569159895920455e-05,1.7281060303390963e-05,9.356500819306783e-06,1.1965254547185167e-05,0.0,896603.6990692647,Landsat9,604505128.4502722,608592236.1899185,0.993284324878619,-2587500.0,-462500.0,4,2023,116,0.0,0.9996141056743,0.00038589432570002025,-0.9996141056743,66.07524930346773,-124.86574875069574,0.00038589432570002025
2022-04-23,221,181,0.84,1.0,0.091859500897072,0.0001108035385639,1.1806757188856224e-05,1.2072224304009046e-05,0.0,0.9080058165828712,5.850236920033488e-06,5.245505556472071e-06,2.573662066964053e-06,2.5997825872101808e-06,0.0,1752155.2956426423,Sentinel2,622034257.1978892,626682558.0725403,0.9925826866971572,1687500.0,1312500.0,4,2022,113,0.0,0.9997404294423194,-0.15974042944231948,0.00025957055768055515,70.44914804268684,82.8749835871888,0.15974042944231948
2019-10-06,50,252,0.868,0.0,0.0003240369839547,0.0010931139018109,0.0053836486506727,0.5772414922065678,0.3900906253669173,0.0258670828900763,1.8803414435366124e-05,3.263601496572058e-05,5.919570372477704e-05,6.037820690462754e-05,0.0,896638.5435873686,Sentinel2,604505128.4502766,608592236.1899185,0.9932843248786262,-2587500.0,-462500.0,10,2019,279,0.0,0.0024264525117458154,0.8655735474882542,-0.0024264525117458154,66.07524930346773,-124.86574875069574,0.8655735474882542
2020-07-03,142,320,0.772,0.0,0.0004083718089605,0.0013959586372134,0.004018488403937,0.5930026301487261,0.3845898853281947,0.0165846656729681,1.8822943802304458e-05,2.9259825219520727e-05,4.5507090237326864e-05,4.795876219641656e-05,0.0,943102.0004245735,Sentinel2,620592203.6788746,625193091.0128937,0.9926408538415468,-287500.0,-2162500.0,7,2020,185,10119.51702094894,0.0030131158406686283,0.7689868841593314,-0.0030131158406686283,70.05718050231116,-52.57294857823765,0.7689868841593314
2019-03-12,221,181,1.0,0.947,0.0917015945943657,4.901805652471359e-05,2.0271549961298e-05,0.0002232992206386,0.0,0.9080058165785097,1.052787128963819e-05,5.226203879769103e-06,3.3806704382451917e-06,9.298097362849242e-06,0.0,1752155.295651059,Sentinel2,622034257.1978892,626682558.0725403,0.9925826866971572,1687500.0,1312500.0,3,2019,71,0.0,0.9973523242281095,0.002647675771890512,-0.050352324228109535,70.44914804268684,82.8749835871888,0.002647675771890512
2019-09-09,142,320,0.716,0.0,0.0003128486292543,0.0012370271375358,0.0029672368688067,0.594446630921471,0.3735914760491124,0.0274447803938195,1.4988931265192653e-05,2.4848688647557425e-05,3.917779804211514e-05,3.9925392508541594e-05,0.0,943427.2225769848,Sentinel2,620592203.6788746,625193091.0128937,0.9926408538415468,-287500.0,-2162500.0,9,2019,252,10119.51702094894,0.0025875952984830888,0.7134124047015169,-0.0025875952984830888,70.05718050231116,-52.57294857823765,0.7134124047015169
2017-07-18,221,181,0.804,0.986,0.0002337183678782,0.0009342186892994,0.0039080847433716,0.0869181596579757,0.8007068660319269,0.1072989525095481,1.1402460278120389e-05,2.1858190916335224e-05,3.670867083893477e-05,3.812657056932638e-05,0.0,1752155.2918631756,Sentinel2,622034257.1978892,626682558.0725403,0.9925826866971572,1687500.0,1312500.0,7,2017,199,0.0,0.01269577095703772,0.7913042290429624,0.9733042290429623,70.44914804268684,82.8749835871888,0.7913042290429624
2018-04-20,142,320,0.888,1.0,0.4760371424744353,0.0482477050935712,0.0682522247828137,0.0064266713290634,0.0171432282674261,0.3838930280526901,6.24895408544362e-05,7.648685334334515e-05,8.096103714589442e-05,6.407188938712668e-05,0.0,943427.2228659056,Sentinel2,620592203.6788746,625193091.0128937,0.9926408538415468,-287500.0,-2162500.0,4,2018,110,10119.51702094894,0.8753198388051524,0.012680161194847606,0.1246801611948476,70.05718050231116,-52.57294857823765,0.012680161194847606
2022-05-08,221,181,0.924,1.0,0.0919079164271505,6.590922027113531e-05,1.018474597403216e-05,1.01730238363773e-05,0.0,0.908005816582768,5.595418164168614e-06,4.88594311644772e-06,2.3930157673988703e-06,2.391719133599598e-06,0.0,1752155.2956428418,Sentinel2,622034257.1978892,626682558.0725403,0.9925826866971572,1687500.0,1312500.0,5,2022,128,0.0,0.9997787059023285,-0.07577870590232849,0.00022129409767146502,70.44914804268684,82.8749835871888,0.07577870590232849
2015-05-23,221,182,1.0,1.0,0.0670757308027923,0.0164012145939882,0.0104883931522356,0.0020638112411866,0.0254087595205011,0.878562090689296,2.79912574228102e-05,5.373901034924011e-05,5.124344554064204e-05,2.7047743098292928e-05,22.0,1750091.6873824762,Landsat8,622531989.804048,627196707.8596191,0.9925625916126216,1687500.0,1287500.0,5,2015,143,0.0,0.86928756090369,0.13071243909631003,0.13071243909631003,70.5861032246292,82.34229023606125,0.13071243909631003
