,feature,shap_mean_abs,shap_mean_signed
0,snow_frac,0.1460408470746741,-0.001943978707915613
1,longitude,0.04079064601173167,0.00017623885697528143
2,latitude,0.03334626086067981,-0.0015027188273426535
3,distance_from_land,0.032761950693199954,0.003968640274304333
4,land_frac,0.020257847518421274,-0.0005376933463350698
