,feature,importance_gain,importance_split
0,snow_frac,11749.531920533427,41308
1,distance_from_land,5494.321940835976,114271
2,latitude,4535.168445673711,110373
3,longitude,4238.031092595962,103666
4,land_frac,2439.4116223886895,31984
